127.0.0.1 - - [03/Jul/2024:18:48:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:20 +0900] "GET /Spring_Project_01/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:20 +0900] "GET /Spring_Project_01/css/bottom.css HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:20 +0900] "GET /Spring_Project_01/image/logo.png HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:20 +0900] "GET /Spring_Project_01/js/main.js HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:20 +0900] "GET /Spring_Project_01/image/search.png HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:20 +0900] "GET /Spring_Project_01/css/sidebar.css HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:20 +0900] "GET /Spring_Project_01/main;jsessionid=6CB31DE77E00CF37665A19F9BA9E7E4C HTTP/1.1" 200 829673
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:20 +0900] "GET /Spring_Project_01/css/top_menu.css HTTP/1.1" 200 4500
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:20 +0900] "GET /Spring_Project_01/css/main.css HTTP/1.1" 200 8164
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:20 +0900] "GET /Spring_Project_01/image/icon-star-1.png HTTP/1.1" 200 18367
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:20 +0900] "GET /Spring_Project_01/upload/default_profile.png HTTP/1.1" 200 3187
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:20 +0900] "GET /Spring_Project_01/image/icon-star-0.png HTTP/1.1" 200 9163
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:20 +0900] "GET /Spring_Project_01/upload/profile_sul_01.png HTTP/1.1" 200 274526
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:20 +0900] "GET /Spring_Project_01/image/menu.png HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:28 +0900] "GET /Spring_Project_01/admin/login HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:28 +0900] "GET /Spring_Project_01/css/icheck-bootstrap.min.css HTTP/1.1" 200 12505
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:28 +0900] "GET /Spring_Project_01/css/all.min.css HTTP/1.1" 200 5324
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:28 +0900] "GET /Spring_Project_01/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 11967
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:28 +0900] "GET /Spring_Project_01/css/fontawesome.min.css HTTP/1.1" 200 57873
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:28 +0900] "GET /Spring_Project_01/js/adminlte.min.js HTTP/1.1" 200 46369
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:28 +0900] "GET /Spring_Project_01/image/logo_grey.png HTTP/1.1" 200 2138
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:28 +0900] "GET /Spring_Project_01/js/bootstrap.bundle.min.js HTTP/1.1" 200 83253
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:28 +0900] "GET /Spring_Project_01/css/adminlte.min.css HTTP/1.1" 200 1396747
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:28 +0900] "GET /Spring_Project_01/js/locales-all.min.js HTTP/1.1" 200 23977
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:28 +0900] "GET /Spring_Project_01/js/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:28 +0900] "GET /Spring_Project_01/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 200 61588
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:28 +0900] "GET /Spring_Project_01/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78268
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:32 +0900] "POST /Spring_Project_01/admin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:32 +0900] "GET /Spring_Project_01/admin/home HTTP/1.1" 200 5674
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:32 +0900] "GET /Spring_Project_01/image/logo_dark.png HTTP/1.1" 200 2115
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:32 +0900] "GET /Spring_Project_01/upload/ex_pic_cat.png HTTP/1.1" 200 203034
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:34 +0900] "GET /Spring_Project_01/admin/cart/manage HTTP/1.1" 200 27930
0:0:0:0:0:0:0:1 - - [03/Jul/2024:18:48:38 +0900] "GET /Spring_Project_01/admin/book/manage HTTP/1.1" 200 34640
